0xff811ba0,wrapped_malloc
0xff8128b4,exmem_alloc
0xff812d58,printclock_FW
0xff812e5c,StopClockSaver_FW
0xff812e78,SetLClk72MHz_FW
0xff812e88,SetLClk36MHz_FW
0xff812e98,SetLClk18MHz_FW
0xff812f40,SetHClk72MHz_FW
0xff812f84,SetHClk36MHz_FW
0xff812fac,SetHClk18MHz_FW
0xff812ff0,SetMClk72MHz_FW
0xff813034,SetMClk36MHz_FW
0xff81305c,SetMClk18MHz_FW
0xff813b54,DebugAssert
0xff8141dc,LocalTime
0xff81495c,GetTimeOfSystem_FW
0xff814c84,AllocateUncacheableMemory
0xff814cb8,FreeUncacheableMemory
0xff814ebc,_GetSystemTime
0xff815010,SetTimerAfter
0xff8150ac,SetTimerWhen
0xff815124,CancelTimer
0xff81590c,SetHPTimerAfterNow
0xff815998,SetHPTimerAfterTimeout
0xff815d80,CancelHPTimer
0xff816a18,RegisterEventProcedure_FW
0xff816b9c,ExecuteEventProcedure
0xff816b9c,ExecuteEventProcedure_FW
0xff816db8,ExportToEventProcedure_FW
0xff817550,CreateProxyOfEventProcedure_FW
0xff8175d8,DeleteProxyOfEventProcedure_FW
0xff818004,LogCameraEvent
0xff81806c,PutsCameraLogEvent_FW
0xff818174,ShowCameraLogInfo_FW
0xff818218,ShowCameraLog_FW
0xff8184f8,StopCameraLog_FW
0xff81a318,StartWDT_FW
0xff81a394,StopWDT_FW
0xff81a508,GetBuildDate_FW
0xff81a520,GetBuildTime_FW
0xff81a544,GetFirmwareVersion_FW
0xff81a62c,RomCheckSum_FW
0xff81a6c0,CheckSumAll_FW
0xff81a87c,SystemEventDelete_FW
0xff81a99c,Dump32_FW
0xff81aab0,FreeMemory
0xff81aab0,FreeMemory_FW
0xff81aac4,AllocateMemory
0xff81aac4,AllocateMemory_FW
0xff81aad4,Wait_FW
0xff81aae8,Poke32_FW
0xff81ab0c,Poke16_FW
0xff81ab30,Poke8_FW
0xff81ab54,Peek32_FW
0xff81ab70,Peek16_FW
0xff81ab8c,Peek8_FW
0xff81aba8,EraseSignature_FW
0xff81abd8,GetSystemTime_FW
0xff81abf8,MonSelEvent_FW
0xff81ac30,exec_FW
0xff81b62c,RotateConsoleZOder_FW
0xff81b6d4,CPrintf_FW
0xff81b738,CPutChar_FW
0xff81b76c,GetCh_FW
0xff81b7d0,GetStringWithPrompt_FW
0xff81b854,OpenConsole_FW
0xff81b9a0,CloseConsole_FW
0xff81f6f0,CreateEventFlag
0xff81f7fc,DeleteEventFlag
0xff81f9dc,CheckAnyEventFlag
0xff81f9ec,CheckAllEventFlag
0xff81fa8c,WaitForEventFlag
0xff81fc30,WaitForAnyEventFlag
0xff81fc40,WaitForAllEventFlag
0xff81fc50,SetEventFlag
0xff81fdec,ClearEventFlag
0xff81fe3c,GetEventFlagValue
0xff81ffcc,RegisterInterruptHandler
0xff81fff0,UnregisterInterruptHandler
0xff820008,GetSRAndDisableInterrupt
0xff820014,SetSR
0xff820034,EnableInterrupt
0xff820074,CreateMessageQueue
0xff8201c4,DeleteMessageQueue
0xff820400,ReceiveMessageQueue
0xff820674,TryReceiveMessageQueue
0xff820818,PostMessageQueue
0xff820a40,TryPostMessageQueue
0xff820b6c,GetNumberOfPostedMessages
0xff820bec,CreateBinarySemaphore
0xff820cd4,CreateCountingSemaphore
0xff820cd4,CreateCountingSemaphore_FW
0xff820de0,DeleteSemaphore
0xff820de0,DeleteSemaphore_FW
0xff820fec,TakeSemaphore
0xff820fec,TakeSemaphore_FW
0xff821170,TryTakeSemaphore
0xff8211d4,GiveSemaphore
0xff8211d4,GiveSemaphore_FW
0xff8212a8,GetSemaphoreValue
0xff8214f0,SleepTask
0xff8214f0,SleepTask_FW
0xff8215dc,CreateTask
0xff8215dc,CreateTask_FW
0xff82199c,ExitTask
0xff82199c,ExitTask_FW
0xff822418,CreateRecursiveLock
0xff822534,DeleteRecursiveLock
0xff82260c,AcquireRecursiveLock
0xff822734,ReleaseRecursiveLock
0xff822744,CreateTaskStrictly
0xff822784,CreateMessageQueueStrictly
0xff8227b0,CreateEventFlagStrictly
0xff8227dc,CreateBinarySemaphoreStrictly
0xff822808,CreateCountingSemaphoreStrictly
0xff822834,CreateRecursiveLockStrictly
0xff822b8c,Restart
0xff822c8c,WriteToRom_FW
0xff822d64,EraseSectorOfRom_FW
0xff824434,SetPropertyCase
0xff824550,GetPropertyCase
0xff826550,kbd_p1_f
0xff82655c,kbd_p1_f_cont
0xff82661c,kbd_read_keys
0xff826934,kbd_p2_f
0xff827334,kbd_read_keys_r2
0xff8277b0,GetKbdState
0xff8277f0,kbd_pwr_off,(stubs_entry_2.s)
0xff828ff0,GetAdChValue_FW
0xff829030,GetAdVBattBottom_FW
0xff82a104,SetBattCheckMode_FW
0xff82a18c,ShowBattCheckMode_FW
0xff82a22c,ShowBattChkAdj_FW
0xff82a5dc,GetLBOffset_FW
0xff82a5ec,LowBat_Result_Print_On_FW
0xff82a604,LowBat_Result_Print_Off_FW
0xff82a618,BatVoltageToAd_FW
0xff82b7d8,VbattGet
0xff82b7d8,VbattGet_FW
0xff82c780,GetOpticalTemperature
0xff82c794,GetCCDTemperature
0xff82c7a8,GetBatteryTemperature
0xff8677c8,RenameFile_Fut
0xff867848,DeleteFile_Fut
0xff8678d4,MakeDirectory_Fut
0xff86794c,Fopen_Fut
0xff86794c,Fopen_Fut_FW
0xff867988,Fclose_Fut
0xff867988,Fclose_Fut_FW
0xff867a6c,Fread_Fut
0xff867a6c,Fread_Fut_FW
0xff867abc,Fwrite_Fut
0xff867abc,Fwrite_Fut_FW
0xff867b0c,Fgets_Fut
0xff867b54,Fseek_Fut
0xff867b54,Fseek_Fut_FW
0xff867b9c,Feof_Fut
0xff867bd4,Fflush_Fut
0xff86d750,Unmount_FileSystem
0xff86d8a8,UpdateMBROnFlash
0xff86db70,GetDrive_ClusterSize
0xff86dbac,GetDrive_TotalClusters
0xff86dbe8,GetDrive_FreeClusters
0xff86e36c,Open
0xff86e36c,Open_FW
0xff86e394,Close
0xff86e394,Close_FW
0xff86e3b4,Remove
0xff86e428,Read
0xff86e428,Read_FW
0xff86e434,Write
0xff86e434,write
0xff86e434,Write_FW
0xff86e47c,Lseek
0xff86e47c,Lseek_FW
0xff86e54c,SetFileAttributes
0xff86e57c,mkdir
0xff87cc60,WriteSDCard
0xff87eea0,EngDrvOut
0xff87eeb8,EngDrvIn
0xff87eec0,EngDrvRead
0xff87eed4,EngDrvBits
0xff8a0798,EngineDriver.Delete_FW
0xff8a0860,OutPort_FW
