0x010e1001,DebugAssert
0x010e1017,DebugAssert2
0x010e1021,set_assert_handler
0x010e11e3,time
0x010e124d,GetTimeOfSystem_FW
0x010e1515,LocalTime
0x010e1739,task_SD1stInit
0x010e2201,GetRomID
0x010e2859,ChangeSDPortVoltage_FW
0x010f3c59,j_mktime_ext
0x010f3dac,j_dcache_flush_and_enable
0x011001c4,dry_memcpy_bytes
0x0110024c,dry_memmove_bytes
0x011002d4,dry_memset
0x011002e4,dry_memzero
0x01100328,dry_memcpy
0x01100410,bzero
0x01100414,memset32
0x01102bc8,_log
0x011030e8,_log10
0x01103250,_pow
0x011052d0,_sqrt
0xbfe10b89,CreateTask_low
0xbfe10f51,get_self_task_id
0xbfe11359,get_task_properties
0xbfe11435,dry_error_printf
0xbfe11fc5,createsemaphore_low
0xbfe1208b,givesemaphore_low
0xbfe120b3,takesemaphore_low
0xbfe13d6b,j2_GetSRAndDisableInterrupt
0xbfe13d75,j2_SetSR
0xbfe1452f,heap_alloc
0xbfe145ef,heap_free
0xbfe14999,SleepTask
0xbfe14999,SleepTask_FW
0xbfe14a31,CreateTask
0xbfe14a31,CreateTask_FW
0xbfe14c13,ExitTask
0xbfe14c13,ExitTask_FW
0xbfe14c61,CreateEventFlag
0xbfe14c99,DeleteEventFlag
0xbfe14cd5,CheckAnyEventFlag
0xbfe14d0b,CheckAllEventFlag
0xbfe14d41,WaitForAnyEventFlag
0xbfe14dc3,WaitForAllEventFlag
0xbfe14e43,SetEventFlag
0xbfe14e71,ClearEventFlag
0xbfe14ea1,GetEventFlagValue
0xbfe14ef5,RegisterInterruptHandler
0xbfe14fef,j1_GetSRAndDisableInterrupt
0xbfe14ff3,j1_SetSR
0xbfe15055,CreateMessageQueue
0xbfe150b9,DeleteMessageQueue
0xbfe1511b,ReceiveMessageQueue
0xbfe151a7,TryReceiveMessageQueue
0xbfe151f1,PostMessageQueue
0xbfe1526f,TryPostMessageQueue
0xbfe152a5,GetNumberOfPostedMessages
0xbfe1530d,CreateBinarySemaphore
0xbfe15359,CreateCountingSemaphore_FW
0xbfe15391,DeleteSemaphore
0xbfe15391,DeleteSemaphore_FW
0xbfe153d1,TryTakeSemaphore
0xbfe15401,TakeSemaphore
0xbfe15401,TakeSemaphore_FW
0xbfe15479,GiveSemaphore
0xbfe15479,GiveSemaphore_FW
0xbfe154a9,GetSemaphoreValue
0xbfe15509,CreateTaskStrictly
0xbfe1552b,CreateMessageQueueStrictly
0xbfe15545,CreateEventFlagStrictly
0xbfe1555f,CreateBinarySemaphoreStrictly
0xbfe15579,CreateCountingSemaphoreStrictly
0xbfe15593,CreateRecursiveLockStrictly
0xbfe155ad,TakeSemaphoreStrictly
0xbfe155e5,PostMessageQueueStrictly
0xbfe1561d,WaitForAllEventFlagStrictly
0xbfe15639,AcquireRecursiveLockStrictly
0xbfe1591d,CreateRecursiveLock
0xbfe1598d,AcquireRecursiveLock
0xbfe15a5b,ReleaseRecursiveLock
0xfc0204a5,Color.TestSceneBlueSky_FW
0xfc0204af,Color.TestSceneSunset_FW
0xfc0204b9,Color.TestSceneGreen_FW
0xfc020657,PointDefDetect_FW
0xfc020759,MergeAndConvertDefect_FW
0xfc020923,PointKizuCheck_FW
0xfc020971,SensDefCrowdCheck_FW
0xfc020995,CrossDefDetect_FW
0xfc020999,CrossPickUpDetect_FW
0xfc02099d,MixPixDetect_FW
0xfc020ae9,GetDefectCrawInfo_FW
0xfc020b3b,GetDefectAllResultData_FW
0xfc020b6b,GetDefectPartResultData_FW
